,time,pnl,win
128,2024-05-11 00:58:20.985,0.0,0.0
129,2024-05-11 01:22:09.615,2.302,1.0
130,2024-05-11 01:22:28.856,0.0,0.0
131,2024-05-11 01:22:33.797,0.907,1.0
132,2024-05-11 01:22:49.293,0.0,0.0
133,2024-05-11 01:24:03.881,0.90699999,1.0
134,2024-05-11 01:24:20.474,0.0,0.0
135,2024-05-11 01:24:26.961,0.6342,1.0
136,2024-05-11 01:24:26.961,0.2718,1.0
137,2024-05-11 01:24:48.465,0.0,0.0
138,2024-05-11 01:25:12.116,0.959,1.0
139,2024-05-11 01:25:31.608,0.0,0.0
140,2024-05-11 01:25:31.608,0.0,0.0
141,2024-05-11 01:25:31.608,0.0,0.0
142,2024-05-11 02:00:19.485,2.0774,1.0
143,2024-05-11 02:00:40.346,0.0,0.0
144,2024-05-11 05:11:21.421,2.493,1.0
145,2024-05-11 05:11:49.131,0.0,0.0
146,2024-05-11 05:11:49.387,0.5825,1.0
147,2024-05-11 05:11:49.433,0.453,1.0
148,2024-05-11 05:12:16.269,0.0,0.0
149,2024-05-11 05:12:21.724,0.5424,1.0
150,2024-05-11 05:12:25.376,0.3616,1.0
151,2024-05-11 05:12:43.347,0.0,0.0
152,2024-05-11 05:15:29.397,3.003,1.0
153,2024-05-11 05:15:40.712,0.0,0.0
154,2024-05-11 05:15:46.250,1.0725,1.0
155,2024-05-11 05:15:46.250,1.0725,1.0
156,2024-05-11 05:16:03.147,0.0,0.0
157,2024-05-11 05:17:44.070,1.0818,1.0
158,2024-05-11 05:18:02.145,0.7212,1.0
159,2024-05-11 05:22:38.326,0.0,0.0
160,2024-05-11 06:40:54.458,0.90599999,1.0
161,2024-05-11 06:41:09.704,0.0,0.0
162,2024-05-11 06:41:09.704,0.0,0.0
163,2024-05-11 06:41:23.071,1.502,1.0
164,2024-05-11 06:41:46.987,0.0,0.0
165,2024-05-11 06:43:41.447,0.2724,1.0
166,2024-05-11 06:45:04.340,0.6356,1.0
167,2024-05-11 06:46:08.493,0.0,0.0
168,2024-05-11 06:46:19.023,0.0,0.0
169,2024-05-11 06:48:05.783,0.90799999,1.0
170,2024-05-11 06:48:12.986,0.0,0.0
171,2024-05-11 10:44:16.806,3.604,1.0
172,2024-05-11 17:18:41.884,0.0,0.0
173,2024-05-11 17:18:41.885,0.0,0.0
174,2024-05-12 03:27:26.072,5.6898,1.0
175,2024-05-12 03:27:31.888,0.0,0.0
176,2024-05-12 14:02:59.868,3.418,1.0
177,2024-05-12 14:03:20.705,0.0,0.0
178,2024-05-12 14:03:26.335,0.0,0.0
179,2024-05-12 14:36:44.159,1.2008,1.0
180,2024-05-12 14:36:53.417,0.0,0.0
181,2024-05-12 14:37:09.888,1.3,1.0
182,2024-05-12 14:37:30.539,0.0,0.0
183,2024-05-12 14:39:57.409,3.468,1.0
184,2024-05-12 14:40:19.729,0.0,0.0
185,2024-05-12 14:40:32.104,0.0,0.0
186,2024-05-12 14:43:03.234,1.1336,1.0
187,2024-05-12 14:44:16.629,0.0,0.0
188,2024-05-12 14:45:18.824,0.91099999,1.0
189,2024-05-12 14:45:32.173,0.0,0.0
190,2024-05-12 14:45:56.896,1.017,1.0
191,2024-05-12 14:46:21.708,0.0,0.0
192,2024-05-12 14:46:21.708,0.0,0.0
193,2024-05-12 14:46:30.442,1.2436,1.0
194,2024-05-12 14:46:39.310,0.0,0.0
195,2024-05-12 14:47:30.071,0.911,1.0
196,2024-05-12 14:47:47.037,0.0,0.0
197,2024-05-12 14:47:57.590,0.1822,1.0
198,2024-05-12 14:47:57.919,0.1822,1.0
199,2024-05-12 14:47:58.016,0.1822,1.0
200,2024-05-12 14:48:31.012,0.3644,1.0
